ADQUIRIENCIA;ESTADO;TIPO_TERMINAL;TIPO_COMUNICACION;STATUS_TERMINAL;CANTIDAD_EQP
BANCO PROVINCIAL;Zulia;POS;DialUp;Activo;1142
BANCO MERCANTIL;Anzoategui;POS;DialUp;Activo;702
BANCO PROVINCIAL;Sucre;POS;DialUp;Activo;174
BANCO PROVINCIAL;Cojedes;POS;DialUp;Activo;82
BANCO PROVINCIAL;Yaracuy;POS;LAN;Activo;197
BANCO MERCANTIL;Anzoategui;POS;LAN;Activo;573
BANCO MERCANTIL;Guarico;POS;LAN;Activo;96
BANCO MERCANTIL;Yaracuy;POS;LAN;Activo;96
BANCO PROVINCIAL;Lara;POS;LAN;Inactivo;19
BANCO PROVINCIAL;Lara;CAJA REGIST.;LAN;Activo;674
BANCO MERCANTIL;Tachira;CAJA REGIST.;LAN;Activo;156
BANCO PROVINCIAL;Tachira;CAJA REGIST.;LAN;Activo;133
BANCO PROVINCIAL;Portuguesa;CAJA REGIST.;LAN;Activo;175
BANCO MERCANTIL;Barinas;POS;LAN;Inactivo;7
BANCO PROVINCIAL;Cojedes;POS;LAN;Activo;17
BANCO PROVINCIAL;Barinas;POS;LAN;Inactivo;4
BANCO MERCANTIL;Lara;POS;LAN;Inactivo;3
BANCO MERCANTIL;Aragua;POS;Inalambrico;Activo;1025
BANCO MERCANTIL;Trujillo;POS;Inalambrico;Activo;217
BANCO PROVINCIAL;Nueva Esparta;POS;Inalambrico;Activo;172
BANCO MERCANTIL;Tachira;POS;Inalambrico;Activo;433
BANCO PROVINCIAL;Falcon;POS;Inalambrico;Activo;540
BANCO MERCANTIL;Anzoategui;POS;Inalambrico;Inactivo;3
BANCO MERCANTIL;Apure;POS;Inalambrico;Activo;84
BANCO PROVINCIAL;Miranda;POS;Inalambrico;Inactivo;14
BANCO PROVINCIAL;Monagas;POS;Inalambrico;Inactivo;1
BANCO PROVINCIAL;Dependencias Federales;POS;Inalambrico;Activo;1
BANCO MERCANTIL;Cojedes;POS;LAN;Activo;13
BANCO PROVINCIAL;Delta Amacuro;POS;DialUp;Inactivo;1
BANCO MERCANTIL;Trujillo;POS;DialUp;Inactivo;1
BANCO MERCANTIL;Merida;POS;DialUp;Inactivo;1
BANCO PROVINCIAL;Bolivar;POS;TCP-IP;Activo;1
BANCO PROVINCIAL;Bolivar;POS;DialUp;Activo;968
BANCO PROVINCIAL;Yaracuy;POS;DialUp;Activo;348
BANCO PROVINCIAL;Falcon;POS;DialUp;Activo;307
BANCO PROVINCIAL;Vargas;POS;DialUp;Activo;160
BANCO PROVINCIAL;Guarico;POS;DialUp;Activo;506
BANCO PROVINCIAL;Monagas;POS;DialUp;Activo;323
BANCO PROVINCIAL;Carabobo;POS;DialUp;Inactivo;157
BANCO MERCANTIL;Falcon;POS;DialUp;Activo;126
BANCO PROVINCIAL;Bolivar;POS;DialUp;Inactivo;73
BANCO PROVINCIAL;Barinas;POS;DialUp;Inactivo;19
BANCO MERCANTIL;Anzoategui;POS;DialUp;Inactivo;7
BANCO PROVINCIAL;Miranda;CAJA REGIST.;LAN;Activo;2726
BANCO MERCANTIL;Lara;POS;LAN;Activo;262
BANCO PROVINCIAL;Carabobo;CAJA REGIST.;LAN;Activo;1196
BANCO PROVINCIAL;Distrito Capital;POS;LAN;Activo;367
BANCO MERCANTIL;Miranda;POS;LAN;Activo;564
BANCO PROVINCIAL;Monagas;CAJA REGIST.;LAN;Activo;241
BANCO MERCANTIL;Monagas;CAJA REGIST.;LAN;Activo;253
BANCO MERCANTIL;Nueva Esparta;CAJA REGIST.;LAN;Activo;480
BANCO MERCANTIL;Vargas;CAJA REGIST.;LAN;Activo;96
BANCO MERCANTIL;Apure;CAJA REGIST.;LAN;Activo;43
BANCO PROVINCIAL;Tachira;POS;LAN;Activo;80
BANCO PROVINCIAL;Sucre;POS;LAN;Activo;33
BANCO PROVINCIAL;Sucre;CAJA REGIST.;LAN;Activo;81
BANCO MERCANTIL;Distrito Capital;POS;Inalambrico;Activo;2301
BANCO MERCANTIL;Carabobo;POS;Inalambrico;Activo;1113
BANCO MERCANTIL;Anzoategui;POS;Inalambrico;Activo;1217
BANCO PROVINCIAL;Miranda;POS;Inalambrico;Activo;1703
BANCO PROVINCIAL;Bolivar;POS;TCP-IP;Inactivo;1
BANCO PROVINCIAL;Merida;POS;LAN;Inactivo;10
BANCO PROVINCIAL;Apure;POS;LAN;Inactivo;2
BANCO PROVINCIAL;Nueva Esparta;POS;Inalambrico;Inactivo;1
BANCO MERCANTIL;Delta Amacuro;CAJA REGIST.;LAN;Activo;5
BANCO MERCANTIL;Vargas;POS;Inalambrico;Inactivo;4
BANCO MERCANTIL;Yaracuy;POS;LAN;Inactivo;2
